%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
146,1,8,258.4,42.55,0,0.8,0,R305,R_0805/3k3
147,1,8,247.4,43.05,0,0.8,0,R308,R_0805/3k3
148,1,8,164.2,121,0,0.8,0,R31,R_0805/3k3
149,1,8,239.65,123.05,90,0.8,0,R320,R_0805/3k3
150,1,8,99,88,90,0.8,0,R33,R_0805/3k3
151,1,8,283.99,154.45,90,0.8,0,R60,R_0805/3k3
152,1,8,13.4,125.55,90,0.8,0,R7,R_0805/3k3
153,1,8,59.9,26.8,0,0.8,0,R8,R_0805/3k3
154,1,8,115.4,75.14,0,0.8,0,R81,R_0805/3k3
155,1,8,134.65,15.8,0,0.8,0,R9,R_0805/3k3
156,1,12,38.41,136.8,90,0.8,0,R100,R_0805/82
157,1,12,38.41,139.3,90,0.8,0,R101,R_0805/82
158,1,12,38.41,141.85,90,0.8,0,R102,R_0805/82
159,1,12,38.4,144.3,90,0.8,0,R103,R_0805/82
160,1,12,38.4,146.8,90,0.8,0,R104,R_0805/82
161,1,12,38.4,149.3,90,0.8,0,R105,R_0805/82
162,1,12,38.56,151.8,90,0.8,0,R106,R_0805/82
163,1,12,34.4,154.3,90,0.8,0,R107,R_0805/82
164,1,12,16.9,125.3,0,0.8,0,R123,R_0805/82
165,1,12,9.4,123.55,90,0.8,0,R124,R_0805/82
166,1,12,74.71,10.65,90,0.8,0,R144,R_0805/82
167,1,12,74.65,14.65,90,0.8,0,R145,R_0805/82
168,1,12,74.65,18.85,90,0.8,0,R146,R_0805/82
169,1,12,74.65,22.85,90,0.8,0,R147,R_0805/82
170,1,12,74.65,27.05,90,0.8,0,R148,R_0805/82
171,1,12,74.65,31.15,90,0.8,0,R149,R_0805/82
172,1,12,35.1,55.3,90,0.8,0,R150,R_0805/82
173,1,12,35.05,51.35,90,0.8,0,R151,R_0805/82
174,1,12,35.05,47.25,90,0.8,0,R152,R_0805/82
175,1,12,35.05,43.15,90,0.8,0,R153,R_0805/82
176,1,12,35.05,39.15,90,0.8,0,R154,R_0805/82
177,1,12,35.05,34.95,90,0.8,0,R155,R_0805/82
178,1,12,35.15,31.05,90,0.8,0,R156,R_0805/82
179,1,12,93.9,119,0,0.8,0,R16,R_0805/82
180,1,12,61.15,30.96,0,0.8,0,R169,R_0805/82
181,1,12,63.4,20.3,90,0.8,0,R170,R_0805/82
182,1,12,155.05,13.95,90,0.8,0,R189,R_0805/82
183,1,12,155.05,18.15,90,0.8,0,R190,R_0805/82
184,1,12,155.05,22.35,90,0.8,0,R191,R_0805/82
185,1,12,155.05,26.35,90,0.8,0,R192,R_0805/82
186,1,12,155.05,30.55,90,0.8,0,R193,R_0805/82
187,1,12,155.05,34.65,90,0.8,0,R194,R_0805/82
188,1,12,155.05,38.75,90,0.8,0,R195,R_0805/82
189,1,12,155.05,42.75,90,0.8,0,R196,R_0805/82
190,1,12,155.05,46.85,90,0.8,0,R197,R_0805/82
191,1,12,155.05,51.05,90,0.8,0,R198,R_0805/82
192,1,12,155.04,55.05,90,0.8,0,R199,R_0805/82
193,1,12,155.04,59.25,90,0.8,0,R200,R_0805/82
194,1,12,157.4,64.8,0,0.8,0,R201,R_0805/82
195,1,12,144.65,16.55,90,0.8,0,R216,R_0805/82
196,1,12,121.65,16.8,0,0.8,0,R217,R_0805/82
197,1,12,110.6,147.75,90,0.8,0,R23,R_0805/82
198,1,12,291.7,45.82,90,0.8,0,R237,R_0805/82
199,1,12,291.7,41.82,90,0.8,0,R238,R_0805/82
200,1,12,291.61,37.72,90,0.8,0,R239,R_0805/82
201,1,12,291.7,33.57,90,0.8,0,R240,R_0805/82
202,1,12,291.61,29.52,90,0.8,0,R241,R_0805/82
203,1,12,291.61,25.32,90,0.8,0,R242,R_0805/82
204,1,12,267.07,59.3,0,0.8,0,R243,R_0805/82
205,1,12,262.82,59.21,0,0.8,0,R244,R_0805/82
206,1,12,258.82,59.3,0,0.8,0,R245,R_0805/82
207,1,12,254.82,59.3,0,0.8,0,R246,R_0805/82
208,1,12,250.67,59.3,0,0.8,0,R247,R_0805/82
209,1,12,246.57,59.3,0,0.8,0,R248,R_0805/82
210,1,12,242.57,59.3,0,0.8,0,R249,R_0805/82
211,1,12,299.4,42.3,90,0.8,0,R262,R_0805/82
212,1,12,299.4,44.8,90,0.8,0,R263,R_0805/82
213,1,12,229.7,31.7,0,0.8,0,R278,R_0805/82
214,1,12,225.7,32.2,0,0.8,0,R279,R_0805/82
215,1,12,221.6,32.2,0,0.8,0,R280,R_0805/82
216,1,12,217.5,32.2,0,0.8,0,R281,R_0805/82
217,1,12,213.3,32.2,0,0.8,0,R282,R_0805/82
